5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -13.4109, Penetration Depth,34.9806, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -46.0835, Penetration Depth,27.1437, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -6.85859, Penetration Depth,35.5216, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 10.7007, Penetration Depth,35.2467, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 16.3954, Penetration Depth,34.6187, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -37.7706, Penetration Depth,29.9396, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 15.968, Penetration Depth,34.6749, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -17.9343, Penetration Depth,34.4039, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -50.9007, Penetration Depth,25.2745, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -9.96939, Penetration Depth,35.3083, Penetrated succesfully,
